"","(Intercept)","sex","race","age","baseline_HED","baseline_social_desirability","baseline_impulsivity","lifestress","injunctive_workplace_norms","qualitative_role_overload","quantitative_role_overload","DASS","I(DASS * DASS)","time","qualitative_role_overload:time","quantitative_role_overload:time","DASS:time","I(DASS * DASS):time"
"(Intercept)",0.00825541281290107,-0.00314493721855285,-0.00546763381249945,0.000588204311792168,-0.000250883695779809,-0.000294334047221414,-0.000283589139685039,0.000104401868235935,-0.000901411167042946,-0.00023020769546664,-0.000156197278582799,0.000434099690428467,-0.000832537320252282,-0.00173731112912685,-0.000277088066055659,-7.57079224268841e-06,-0.000474973323926191,0.00071615826537847
"sex",-0.00314493721855283,0.0048599207699008,0.000442777553490979,9.21033261790744e-06,0.000374184194031088,1.23582856290064e-05,0.000215659479752039,1.84835820228068e-05,0.000511807606116473,0.000269644576470009,0.000167118617028301,7.73456519157321e-05,-7.13434092904965e-05,0.000143607740314882,0.000164012894825791,0.000323659750345762,-1.84835508627285e-05,5.43799967889159e-06
"race",-0.00546763381249943,0.000442777553490982,0.00638757798120043,-0.00067657977690037,-0.000354633959551823,0.000375745151079518,-5.07247925534397e-05,-0.000220140918957881,0.000642741438409478,-8.54980775289319e-05,-2.17835878089041e-05,-3.27050689499637e-06,0.000209874164154199,0.000595588244154791,0.000296753124103693,-0.000107205075785312,0.00023524811213965,-0.000214659065808786
"age",0.000588204311792169,9.21033261790679e-06,-0.000676579776900371,0.00146457431083991,0.000130494305343465,-0.000150369956136777,-0.000145267422875698,9.36216431662905e-05,-9.52382811912308e-05,1.21676000333544e-05,-0.000119138624130563,-4.17183229199533e-05,-2.43490421667078e-05,-0.000266067373946458,-0.000209506623154437,-1.00136881532857e-05,5.32706671565997e-06,8.13477978765038e-05
"baseline_HED",-0.000250883695779809,0.000374184194031088,-0.000354633959551822,0.000130494305343465,0.000887472005082214,0.000139395123699801,-0.00017312954420018,-1.68500686307106e-05,-5.58429254687041e-05,-0.000114512368587597,-0.000102020741104013,0.000155068938576505,6.65366488759508e-05,-5.68243083191735e-05,1.77088153409994e-05,7.86745828354474e-06,-1.4434714194562e-05,-1.23249760470982e-05
"baseline_social_desirability",-0.000294334047221416,1.23582856290071e-05,0.000375745151079519,-0.000150369956136777,0.000139395123699801,0.00144342609974732,0.000190315048754996,-3.35429346335774e-05,0.000261355233413579,2.05526605990612e-05,6.0206534578306e-05,2.48119086794988e-05,1.44180856287268e-05,0.000339926700650964,0.000346530425259906,7.41001150950055e-05,-3.19003335930261e-05,-9.82977615761946e-05
"baseline_impulsivity",-0.000283589139685047,0.000215659479752042,-5.07247925534349e-05,-0.000145267422875698,-0.00017312954420018,0.000190315048754995,0.00125258290499611,-5.75464488500172e-05,4.37619979629344e-05,-5.24325115158888e-05,4.78635288009318e-05,-0.000269399934486948,0.000216803416024731,0.000351541658979374,6.35880090096816e-05,3.24956853091178e-05,1.77480552743586e-05,-0.00022238832346813
"lifestress",0.000104401868235933,1.84835820228079e-05,-0.000220140918957879,9.36216431662907e-05,-1.68500686307107e-05,-3.35429346335778e-05,-5.75464488500171e-05,0.000804112346293113,-9.79898703635272e-05,0.000146139514722694,1.57600258342321e-05,-0.000314725724961633,-4.16142474721918e-05,3.00104917813195e-05,-0.000107389061713754,-8.91356558853792e-05,0.000105364609721955,-4.09002506964929e-05
"injunctive_workplace_norms",-0.000901411167042946,0.000511807606116476,0.000642741438409477,-9.52382811912311e-05,-5.58429254687038e-05,0.000261355233413579,4.37619979629338e-05,-9.79898703635275e-05,0.000944517351694664,5.40157764914793e-05,-1.08836827702653e-05,-0.000167368544126286,4.91171798688916e-05,0.000474265513700734,0.000139465276577295,0.000106217237465851,0.00010326137625423,-0.0001148740794826
"qualitative_role_overload",-0.000230207695466644,0.000269644576470012,-8.54980775289285e-05,1.21676000333541e-05,-0.000114512368587598,2.05526605990618e-05,-5.24325115158893e-05,0.000146139514722694,5.401577649148e-05,0.00141066273933819,-0.000121378932471619,-0.000232277569827254,8.28260880629455e-05,0.000213065547314828,-0.000887858689485824,0.000293020786707531,-5.89216770435862e-05,-0.000125783744641296
"quantitative_role_overload",-0.000156197278582801,0.000167118617028302,-2.17835878089025e-05,-0.000119138624130563,-0.000102020741104012,6.02065345783057e-05,4.78635288009314e-05,1.57600258342324e-05,-1.0883682770265e-05,-0.00012137893247162,0.000731549030580911,-8.72345121127698e-05,-3.94038172778637e-05,0.000194018506586339,0.000227753032758779,-0.000381684821598636,0.000134132889576944,-1.8410639855159e-05
