"","(Intercept)","sex","race","age","baseline_rutgers","baseline_social_desirability","baseline_impulsivity","lifestress","injunctive_workplace_norms","qualitative_role_overload","quantitative_role_overload","DASS","I(DASS * DASS)","time","qualitative_role_overload:time","quantitative_role_overload:time","DASS:time","I(DASS * DASS):time"
"(Intercept)",0.0149676009105785,-0.00725088363547473,-0.00926097006469483,-0.00053804712752996,-0.00120001228448298,0.00140539145200209,-0.00175705896367539,0.000749500321746285,0.000358223948556472,-0.000649740768469388,-2.65105369828374e-05,0.00199317147515682,-0.000833792270526997,-0.0022534763810144,-0.000625157932725533,-0.000317655591057687,2.48725710560231e-05,0.000568946120473094
"sex",-0.00725088363547476,0.010048882547588,0.00175837043362042,0.000663628866401943,0.000380058666466783,-0.00192383763197414,0.000273544791601902,-0.00140869569610736,-0.000548643688872802,0.000416785525118179,0.000335832339546809,-0.000792402276417975,3.82664225519021e-05,-0.00176912004402791,0.000120671180186836,0.00199115185775683,-0.0014681797307472,0.00135263901147503
"race",-0.00926097006469482,0.00175837043362041,0.010985110051945,-0.000490758713870891,0.000284252940224572,-0.00119568805531609,0.000981513800102071,0.000210434208850788,-0.000287899900621489,-1.75318776946464e-05,-0.000736876852437069,-0.000221457856909279,-0.000178589482988886,0.00018566201998645,0.00106726503326161,-0.000117028454215985,-0.000526772811607189,-0.000406394729954969
"age",-0.000538047127529945,0.000663628866401927,-0.00049075871387089,0.00263408064804068,4.03764290485118e-05,-0.000236393686721294,-8.28449700899135e-05,-4.3931489403455e-05,0.00039654615204743,8.7633862162795e-05,-0.000445605761987666,-0.000277640674199395,-5.48664726049346e-05,0.000704979209778869,0.000207430087827096,0.000651333249392044,0.000716201000821652,2.76757540946152e-05
"baseline_rutgers",-0.001200012284483,0.000380058666466799,0.000284252940224574,4.03764290485127e-05,0.00161975274692093,-0.000218900607339121,-0.000319427934764245,7.32380114915823e-06,-0.000242562522296283,-4.77364124240541e-05,1.54696124514389e-05,-0.00040231794743925,8.05920208131524e-06,0.000587589441954305,-0.000420899730063488,-0.000460497071665106,7.78934483868752e-05,-1.51164864070411e-05
"baseline_social_desirability",0.00140539145200211,-0.00192383763197414,-0.00119568805531609,-0.000236393686721294,-0.000218900607339122,0.00381788084811062,0.00126114283819649,0.000839482202755683,0.000862795661478611,5.18215384694059e-05,0.000927781831282039,-0.000377685374782482,0.000306443524429711,0.00181262054524678,-0.000461051887126823,-0.0014473556013917,0.000961339463730998,-0.000983651631782823
"baseline_impulsivity",-0.00175705896367537,0.000273544791601882,0.000981513800102065,-8.28449700899151e-05,-0.000319427934764245,0.00126114283819649,0.00351057160657755,0.000175987678692231,-4.19560038481376e-05,0.000149860549177115,0.000162753973506122,-0.00108053089392792,0.000165641979789762,9.10367568172446e-05,-6.51142084887042e-05,0.000327016252868769,-0.000302646222250303,0.000358389935369931
"lifestress",0.000749500321746316,-0.00140869569610737,0.000210434208850778,-4.39314894034523e-05,7.32380114916001e-06,0.000839482202755681,0.000175987678692226,0.00234318143651434,0.000124440968434434,0.000205989985911673,-7.05865134547389e-05,-0.000297840971691872,-0.000227241292370996,0.000267631494234932,-0.000422100068674559,-0.000541087237699154,-0.000331745237625458,-0.000327068781205245
"injunctive_workplace_norms",0.000358223948556488,-0.000548643688872811,-0.000287899900621492,0.000396546152047438,-0.000242562522296291,0.000862795661478611,-4.19560038481279e-05,0.000124440968434435,0.00157130767222089,6.43138009511263e-05,0.000217080181196964,0.000197314228579588,3.15124105962212e-05,0.000731865097038444,-0.000180378420180958,-0.00034046834812106,0.00060446122322634,-0.000382242484543868
"qualitative_role_overload",-0.0006497407684694,0.000416785525118179,-1.75318776946447e-05,8.76338621627989e-05,-4.77364124240591e-05,5.18215384694103e-05,0.00014986054917712,0.000205989985911675,6.43138009511294e-05,0.00252312935424937,-0.000912146642277444,-0.000184840235082358,0.00024355941591466,0.000324733080010098,-0.00236464199203972,0.00105873163450715,-0.000248343410604539,-8.91936866437752e-05
"quantitative_role_overload",-2.65105369827985e-05,0.000335832339546798,-0.000736876852437077,-0.000445605761987668,1.54696124514404e-05,0.00092778183128204,0.000162753973506121,-7.05865134547366e-05,0.000217080181196961,-0.000912146642277451,0.00351284706655761,-0.000346826781530001,0.00029410479957826,0.000377103769958461,0.000734224495532388,-0.00205712531743977,-0.000157018235330887,0.000128269827989231
