"parameter","estimates","se","p"
"(Intercept)","-0.07","0.05","0.155"
"sex"," 0.19***","0.05","0.000"
"race","-0.05","0.05","0.319"
"age"," 0.01","0.02","0.750"
"baseline_HED","-0.06**","0.02","0.003"
"baseline_social_desirability","-0.08***","0.02","0.001"
"baseline_impulsivity"," 0.28***","0.03","0.000"
"lifestress"," 0.19***","0.02","0.000"
"qualitative_role_overload"," 0.09***","0.03","0.001"
"quantitative_role_overload"," 0.08**","0.03","0.002"
"time"," 0.01","0.03","0.766"
"qualitative_role_overload:time"," 0.03","0.03","0.340"
"quantitative_role_overload:time"," 0.01","0.03","0.697"
