"parameter","estimates","se","p"
"(Intercept)"," 0.46***","0.09","0.000"
"sex","-0.13†","0.07","0.051"
"race"," 0.27***","0.08","0.001"
"age"," 0.01","0.04","0.779"
"baseline_HED"," 0.42***","0.03","0.000"
"baseline_social_desirability","-0.02","0.04","0.540"
"baseline_impulsivity"," 0.04","0.04","0.259"
"lifestress"," 0.08**","0.03","0.005"
"descriptive_workplace_norms"," 0.04","0.03","0.149"
"qualitative_role_overload"," 0.14***","0.04","0.000"
"quantitative_role_overload"," 0.11***","0.03","0.000"
"DASS"," 0.07","0.04","0.115"
"time"," 0.02","0.05","0.751"
"I(DASS * DASS)","-0.07**","0.03","0.009"
"I(time * DASS * DASS)"," 0.02","0.04","0.628"
"qualitative_role_overload:time","-0.15***","0.04","0.001"
"quantitative_role_overload:time"," 0.02","0.03","0.524"
"DASS:time"," 0.00","0.04","0.959"
