"","Parameter","Estimate","SE","Estimate","SE","Estimate","SE","Estimate","SE","Estimate","SE"
"1","(Intercept)"," 0.40***",0.08," 0.40***",0.08," 0.47***",0.08," 0.38***",0.09," 0.37***",0.09
"2","sex","-0.13†",0.07,"-0.13†",0.07,"-0.14†",0.07,"-0.13†",0.07,"-0.13†",0.07
"3","race"," 0.28***",0.08," 0.28***",0.08," 0.27***",0.08," 0.28***",0.08," 0.28***",0.08
"4","age"," 0.01",0.04," 0.01",0.04," 0.01",0.04," 0.00",0.04," 0.01",0.04
"5","baseline_HED"," 0.41***",0.03," 0.41***",0.03," 0.42***",0.03," 0.41***",0.03," 0.41***",0.03
"6","baseline_social_desirability","-0.03",0.04,"-0.03",0.04,"-0.02",0.04,"-0.03",0.04,"-0.03",0.04
"7","baseline_impulsivity"," 0.05",0.03," 0.05",0.04," 0.04",0.04," 0.05",0.03," 0.05",0.04
"8","lifestress"," 0.08**",0.03," 0.08**",0.03," 0.08**",0.03," 0.08**",0.03," 0.08**",0.03
"9","injunctive_workplace_norms"," 0.04",0.03," 0.04",0.03," 0.04",0.03," 0.01",0.03," 0.04",0.03
"10","qualitative_role_overload"," 0.07*",0.03," 0.07*",0.03," 0.07*",0.03," 0.15***",0.04," 0.15***",0.04
"11","quantitative_role_overload"," 0.12***",0.02," 0.12***",0.02," 0.12***",0.02," 0.11***",0.03," 0.11***",0.03
"12","DASS",,," 0.00",0.03," 0.06†",0.04,,," 0.00",0.03
"13","I(DASS * DASS)",,,,,"-0.07**",0.02,,,,
"14","time",,,,,,," 0.03",0.04," 0.04",0.04
"15","injunctive_workplace_norms:time",,,,,,," 0.06",0.04,,
"16","qualitative_role_overload:time",,,,,,,"-0.15***",0.04,"-0.15***",0.04
"17","quantitative_role_overload:time",,,,,,," 0.02",0.03," 0.02",0.03
"18","DASS:time",,,,,,,,," 0.02",0.04
