"","Parameter","Estimate","SE","Estimate","SE","Estimate","SE","Estimate","SE","Estimate","SE"
"1","(Intercept)"," 0.81***",0.12," 0.74***",0.12," 0.81***",0.11," 0.74***",0.11," 0.79***",0.12
"2","sex","-0.17†",0.1,"-0.17†",0.1,"-0.25**",0.1,"-0.25**",0.1,"-0.24*",0.1
"3","race","-0.14",0.11,"-0.14",0.11,"-0.12",0.1,"-0.12",0.1,"-0.12",0.1
"4","age"," 0.08",0.05," 0.08",0.05," 0.08†",0.05," 0.08",0.05," 0.08†",0.05
"5","baseline_rutgers"," 0.28***",0.04," 0.28***",0.05," 0.29***",0.04," 0.29***",0.04," 0.29***",0.04
"6","baseline_social_desirability","-0.06",0.06,"-0.07",0.06,"-0.05",0.06,"-0.05",0.06,"-0.05",0.06
"7","baseline_impulsivity"," 0.13**",0.05," 0.14*",0.05," 0.06",0.05," 0.06",0.05," 0.06",0.05
"8","lifestress"," 0.15**",0.05," 0.16**",0.05," 0.09†",0.05," 0.10*",0.05," 0.10*",0.05
"9","descriptive_workplace_norms"," 0.17***",0.05," 0.16**",0.05," 0.18***",0.05," 0.17***",0.05," 0.17***",0.05
"10","qualitative_role_overload"," 0.06",0.04," 0.12*",0.05," 0.04",0.04," 0.11*",0.05," 0.10*",0.05
"11","quantitative_role_overload"," 0.12*",0.05," 0.11†",0.06," 0.09†",0.05," 0.07",0.06," 0.06",0.06
"12","time",,," 0.14*",0.06,,," 0.14*",0.06," 0.10",0.08
"13","descriptive_workplace_norms:time",,," 0.02",0.07,,,,,,
"14","qualitative_role_overload:time",,,"-0.12†",0.07,,,"-0.16*",0.07,"-0.15*",0.07
"15","quantitative_role_overload:time",,," 0.03",0.07,,," 0.04",0.07," 0.04",0.07
"16","DASS",,,,," 0.25***",0.05," 0.24***",0.05," 0.33***",0.06
"17","DASS:time",,,,,,," 0.04",0.06,"-0.02",0.08
"18","I(DASS * DASS)",,,,,,,,,"-0.07*",0.03
"19","I(time * DASS * DASS)",,,,,,,,," 0.05",0.05
