"parameter","estimates","se","p"
"(Intercept)"," 0.81***","0.12","0.000"
"sex","-0.17†","0.10","0.085"
"race","-0.14","0.11","0.189"
"age"," 0.08","0.05","0.117"
"baseline_rutgers"," 0.28***","0.04","0.000"
"baseline_social_desirability","-0.06","0.06","0.295"
"baseline_impulsivity"," 0.13**","0.05","0.010"
"lifestress"," 0.15**","0.05","0.002"
"descriptive_workplace_norms"," 0.17***","0.05","0.000"
"qualitative_role_overload"," 0.06","0.04","0.104"
"quantitative_role_overload"," 0.12*","0.05","0.011"
