"variable","MEAN","SD","MIN","MAX","NMISS","PMISS","NOB","alpha"
"baseline_HED",2.38,3.66,0,25,94,8,1240,
"baseline_rutgers",2.78,4.33,0,45,287,23.15,1240,0.86
"sex",0.59,0.49,0,1,0,0,1240,
"race",0.68,0.47,0,1,2,0,1240,
"age",22.22,0.74,18.58,24.83,0,0,1240,
"baseline_social_desirability",5.17,2.1,0,10,1,0,1240,0.6
"baseline_impulsivity",0.94,0.64,0,3,1,0,1240,0.78
"Time 0: lifestress",1.19,0.96,0,4,0,0,1240,0.74
"Time 0: HED",1.83,2.77,0,21,3,0,1240,
"Time 0: rutgers",2.23,4.52,0,48,4,0.37,1068,0.91
"Time 0: qualitative_role_overload",2.49,1.29,0,6,2,0,1240,0.76
"Time 0: quantitative_role_overload",4,6.34,0,30,4,0,1240,
"Time 0: injunctive_workplace_norms",0.69,0.88,0,4,3,0,1240,0.78
"Time 0: descriptive_workplace_norms",0.26,0.5,0,4,4,0,1240,0.54
"Time 0: DASS",4.78,3.42,0,15,1,0,1240,0.88
"Time 1: lifestress",1.06,0.92,0,4,0,0,1240,0.71
"Time 1: HED",1.9,2.89,0,30,0,0,1240,
"Time 1: rutgers",2.49,4.61,0,43,1,0.09,1079,0.89
"Time 1: qualitative_role_overload",2.43,1.39,0,6,2,0,1240,0.79
"Time 1: quantitative_role_overload",5.35,6.83,0,30,0,0,1240,
"Time 1: injunctive_workplace_norms",0.72,0.87,0,4,2,0,1240,0.73
"Time 1: descriptive_workplace_norms",0.29,0.5,0,3,2,0,1240,0.41
"Time 1: DASS",5.05,3.44,0,15,1,0,1240,0.88
